26년 6월 MTD 매장별 Trend - 브랜드별 실적 정리,,,,,,,,,,,,
기간: 2026.06.01~2026.06.14 vs 2025.06.01~2025.06.15 (단위: 원  %),,,,,,,,,,,,
,,,,,,,,,,,,
▶ 브랜드 합계,,,,,,,,,,,,
브랜드,FY26 매출액,FY25 매출액,발생금액 편차,전년비(%),재료비 FY26(%),재료비 FY25(%),재료비 편차(%p),인건비 FY26(%),인건비 FY25(%),인건비 편차(%p)
전체 합계,1165652943,1257678933,-92025990,-7.3%,-26.1%,-25.6%,-0.5%,-26.7%,-26.5%,-0.3%
AGRA 합계,848206730,898534519,-50327789,-5.6%,-26.3%,-22.8%,-3.5%,-25.0%,-24.0%,-1.1%
NOYA 합계,253599414,297594408,-43994994,-14.8%,-24.9%,-32.8%,7.9%,-28.5%,-31.0%,2.5%
Dual 합계,51745033,61550006,-9804973,-15.9%,-28.4%,-32.6%,4.2%,-48.9%,-40.9%,-8.0%
Pantry 합계,12101766,-(신규),-(신규),신규,-25.1%,-,-,-13.9%,-,-
,,,,,,,,,,,,
▶ AGRA 매장별,,,,,,,,,,,,
브랜드,매장명,FY26 매출액,FY25 매출액,발생금액 편차,전년비(%),재료비 FY26(%),재료비 FY25(%),재료비 편차(%p),인건비 FY26(%),인건비 FY25(%),인건비 편차(%p)
AGRA,AG신세계경기점,21434713,26438361,-5003648,-18.9%,-30.8%,-23.1%,-7.7%,-30.1%,-23.1%,-7.0%
AGRA,AG아이에프씨여의도,57559197,63156866,-5597669,-8.9%,-26.9%,-23.3%,-3.6%,-31.3%,-27.0%,-4.3%
AGRA,AG안성스타필드,28727747,41659153,-12931406,-31.0%,-30.7%,-24.2%,-6.5%,-30.2%,-22.5%,-7.7%
AGRA,AG스타필드수원,50174242,60590264,-10416022,-17.2%,-26.4%,-23.6%,-2.8%,-27.0%,-21.8%,-5.2%
AGRA,AG롯데백화점수원,9435199,13299739,-3864540,-29.1%,-39.8%,-19.7%,-20.1%,-47.1%,-52.0%,4.9%
AGRA,AG파미에스테이션(신규),55852207,-(신규),-(신규),신규,-27.1%,-,-,-14.9%,-,-
AGRA 소계,848206730,898534519,-50327789,-5.6%,-26.3%,-22.8%,-3.5%,-25.0%,-24.0%,-1.1%
,,,,,,,,,,,,
▶ NOYA 매장별,,,,,,,,,,,,
브랜드,매장명,FY26 매출액,FY25 매출액,발생금액 편차,전년비(%),재료비 FY26(%),재료비 FY25(%),재료비 편차(%p),인건비 FY26(%),인건비 FY25(%),인건비 편차(%p)
NOYA,NY코엑스점,77256766,93851120,-16594354,-17.7%,-24.9%,-30.6%,5.7%,-24.2%,-26.2%,2.0%
NOYA,NY광화문에스에프씨,31469468,36305232,-4835764,-13.3%,-25.8%,-31.1%,5.3%,-27.5%,-38.9%,11.4%
NOYA,NY현대백화점목동,44419722,58423335,-14003613,-24.0%,-26.4%,-32.9%,6.5%,-29.5%,-28.2%,-1.3%
NOYA,NY롯데백화점명동,28386431,30237053,-1850622,-6.1%,-28.6%,-27.0%,-1.6%,-36.9%,-31.5%,-5.4%
NOYA,NY롯데백화점동탄점,7691656,22062761,-14371105,-65.1%,-20.3%,-45.8%,25.5%,-77.3%,-38.2%,-39.1%
NOYA,NY용산점,64375371,56714907,7660464,13.5%,-22.4%,-35.5%,13.1%,-24.0%,-33.6%,9.6%
NOYA 소계,253599414,297594408,-43994994,-14.8%,-24.9%,-32.8%,7.9%,-28.5%,-31.0%,2.5%
,,,,,,,,,,,,
▶ Dual 매장별,,,,,,,,,,,,
브랜드,매장명,FY26 매출액,FY25 매출액,발생금액 편차,전년비(%),재료비 FY26(%),재료비 FY25(%),재료비 편차(%p),인건비 FY26(%),인건비 FY25(%),인건비 편차(%p)
Dual,센터원점,19059313,26532903,-7473590,-28.2%,-31.9%,-33.7%,1.8%,-52.7%,-47.6%,-5.1%
Dual,지에프씨점,21784725,24809909,-3025184,-12.2%,-27.2%,-29.4%,2.2%,-45.7%,-34.7%,-11.0%
Dual,을지트윈타워점,10900995,10207194,693801,6.8%,-24.6%,-37.7%,13.1%,-48.6%,-38.7%,-9.9%
Dual 소계,51745033,61550006,-9804973,-15.9%,-28.4%,-32.6%,4.2%,-48.9%,-40.9%,-8.0%
,,,,,,,,,,,,
▶ Pantry 매장별,,,,,,,,,,,,
브랜드,매장명,FY26 매출액,FY25 매출액,발생금액 편차,전년비(%),재료비 FY26(%),재료비 FY25(%),재료비 편차(%p),인건비 FY26(%),인건비 FY25(%),인건비 편차(%p)
Pantry,PA팬트리랩 롯데월드타워점(신규),12101766,-(신규),-(신규),신규,-25.1%,-,-,-13.9%,-,-
Pantry 소계,12101766,-(신규),-(신규),신규,-25.1%,-,-,-13.9%,-,-
,,,,,,,,,,,,
▶ 매출 하락 상위 10개 매장 (전년 대비 매출 % 기준  신규 매장 제외),,,,,,,,,,,,
순위,브랜드,매장명,FY26 매출액,FY25 매출액,발생금액 편차,전년비(%)
1위,NOYA,NY롯데백화점동탄점,7691656,22062761,-14371105,-65.1%
2위,AGRA,AG김포점,46151886,69807120,-23655234,-33.9%
3위,AGRA,AG안성스타필드,28727747,41659153,-12931406,-31.0%
4위,AGRA,AG롯데백화점수원,9435199,13299739,-3864540,-29.1%
5위,Dual,센터원점,19059313,26532903,-7473590,-28.2%
6위,AGRA,AG의왕점,39786527,52940327,-13153800,-24.8%
7위,AGRA,AG고척점,14725419,19502450,-4777031,-24.5%
8위,NOYA,NY현대백화점목동,44419722,58423335,-14003613,-24.0%
9위,AGRA,AG잠실롯데백화점,33031807,41209950,-8178143,-19.8%
10위,AGRA,AG신세계경기점,21434713,26438361,-5003648,-18.9%
